Symbol,LTP,Change,Open,High,low,Qty
MKLB,716.00,8.48,716.00,650.00,650.00,770
SGIC,524.00,7.38,525.00,478.30,478.30,"84,550"
HEI,535.00,7,542.80,485.00,493.00,"158,689"
IGI,474.00,6.52,480.00,436.10,440.00,"221,698"
RBCL,"16,350.00",6.24,"16,350.00","15,400.00","15,697.00","1,592"
BPW,471.60,6.07,471.60,453.40,453.40,30
SALICO,696.90,5.9,696.90,650.00,655.00,"49,848"
STC,"4,505.00",5.78,"4,550.00","4,200.00","4,200.00","10,358"
HEIP,316.00,5.61,316.00,293.30,293.30,"2,794"
NIL,829.00,5.61,836.00,785.00,785.00,"40,439"
RFPL,299.70,-6.64,314.60,296.30,314.60,"68,561"
KLBS,866.50,-3.94,884.00,866.50,884.00,60
GIBF1,9.14,-3.89,9.32,9.14,9.32,"2,680"
CMF2,8.17,-3.77,8.33,8.17,8.33,"5,100"
SGHC,285.00,-3.39,297.00,285.00,290.20,"11,784"
SFEF,8.03,-3.25,8.14,8.03,8.14,800
JOSHI,270.00,-3.05,278.40,270.00,273.00,"25,168"
GRDBL,253.00,-3.03,266.00,253.00,255.70,"3,829"
ULBSL,"1,298.00",-2.95,"1,363.00","1,297.00","1,350.00",595
NESDO,"1,990.00",-2.93,"2,009.00","1,955.00","2,009.00","16,597"
